"distance_from_home","distance_from_last_transaction","ratio_to_median_purchase_price","repeat_retailer","used_chip","used_pin_number","online_order","fraud","Class [kNN]"
0.011105495129801865,0.00017588980143732239,0.03114836806190832,1,0,0,0,"0.0",0
0.002099563110187653,0.056936394976775204,0.15465187435020714,1,0,0,1,"1.0",1
0.014520219049300719,0.005919358379491483,0.006726742921550772,1,1,0,1,"0.0",0
0.002511850024692848,0.0037253293467922953,0.20193069079309636,1,0,0,1,"1.0",1
0.006975541985190001,0.0002232080722045104,0.01996312197841358,1,0,0,1,"0.0",0
0.00907488765568935,0.0000936868419970903,0.006755044273179433,1,0,0,0,"0.0",0
0.0017783238351460997,0.0006384359559152502,0.07592320851139434,0,0,0,1,"0.0",0
0.03778330386433888,0.0013455799312676177,0.005671693485237229,1,1,0,0,"0.0",0
0.0009643781899003858,0.00029284310865226995,0.011002883629930564,0,0,0,1,"0.0",0
0.005753771934244158,0.0006022096557373614,0.013831547439111542,1,0,0,1,"0.0",0
0.035466074480110764,0.0002154495480390007,0.02456494270106766,1,1,0,1,"0.0",0
0.09117223942265185,0.0006603695116599895,0.13209039183655474,1,0,0,1,"1.0",1
0.06070959656246234,0.019928364800381623,0.0009055198152212872,1,0,0,1,"0.0",0
0.003281445985225146,0.00106608687826646,0.04090443702727313,1,0,0,1,"0.0",0
0.003679412150302148,0.00008540865627686874,0.013389455197560837,1,0,0,0,"0.0",0
0.0012189183449741459,0.0018701389360459286,0.04650784927106389,0,0,0,1,"0.0",0
0.04651817429926944,0.00005416641426859814,0.031583630976280176,1,0,0,1,"0.0",0
0.009749881500405046,0.0008728086140505176,0.07016393910433219,1,1,0,1,"0.0",0
0.04674224672518422,0.00021075139410673131,0.021980064672921365,1,0,0,0,"0.0",0
0.003321114937490969,0.0001420389756059092,0.053198721766980386,1,0,0,0,"0.0",0
0.009533085719689098,0.0000894661726530684,0.016779151486283537,1,0,0,1,"0.0",0
0.017847601051517725,0.0010393274043114713,0.05740071385397517,1,0,0,0,"0.0",0
0.028747334317372492,0.0003488433077065045,0.02851011445086054,1,1,0,1,"0.0",0
0.0022257444383652503,0.0008480497412743473,0.009836871254261097,1,0,1,0,"0.0",0
0.0033506602040610004,0.00851222844180347,0.07715088008643531,1,0,0,0,"0.0",0
0.0007584178379282205,0.0017169962417487783,0.011668918395685051,0,0,0,1,"0.0",0
0.0026774121356764337,0.002929841525298481,0.009386443976436738,1,0,0,1,"0.0",0
0.010389996789373282,0.0017343475061536609,0.004564959181884234,1,0,0,0,"0.0",0
0.0003615859038616485,0.00003604454447389729,0.2965642865482281,0,1,0,0,"0.0",0
0.015151180851005175,0.13335777233313978,0.026979091014189015,1,1,0,0,"0.0",0
0.018179919572712054,0.00042035669421843516,0.03077605745484942,1,0,0,1,"0.0",0
0.021710661743534945,0.0005739130004691219,0.004366438174217109,1,1,0,0,"0.0",0
